Time: 19.4 s, Throughput: 9.09056 Mbps, cwnd: 32159 bytes 
Time: 19.5 s, Throughput: 9.09056 Mbps, cwnd: 33767 bytes 
Time: 19.6 s, Throughput: 9.09056 Mbps, cwnd: 29760 bytes 
Time: 19.7 s, Throughput: 7.7184 Mbps, cwnd: 21439 bytes 
Time: 19.8 s, Throughput: 8.23296 Mbps, cwnd: 23583 bytes 
Time: 19.9 s, Throughput: 9.0048 Mbps, cwnd: 26263 bytes 
Time: 20 s, Throughput: 9.09056 Mbps, cwnd: 28407 bytes 
Time: 20.1 s, Throughput: 9.09056 Mbps, cwnd: 30551 bytes 
Time: 20.2 s, Throughput: 9.09056 Mbps, cwnd: 32695 bytes 
Time: 20.3 s, Throughput: 9.09056 Mbps, cwnd: 34303 bytes 
Time: 20.4 s, Throughput: 8.66176 Mbps, cwnd: 19295 bytes 
Time: 20.5 s, Throughput: 7.7184 Mbps, cwnd: 21975 bytes 
Time: 20.6 s, Throughput: 8.61888 Mbps, cwnd: 24655 bytes 
Time: 20.7 s, Throughput: 9.04768 Mbps, cwnd: 26799 bytes 
Time: 20.8 s, Throughput: 9.09056 Mbps, cwnd: 28943 bytes 
Time: 20.9 s, Throughput: 9.09056 Mbps, cwnd: 31087 bytes 
Time: 21 s, Throughput: 9.09056 Mbps, cwnd: 33231 bytes 
Time: 21.1 s, Throughput: 9.09056 Mbps, cwnd: 34839 bytes 
Time: 21.2 s, Throughput: 8.31872 Mbps, cwnd: 20367 bytes 
Time: 21.3 s, Throughput: 7.88992 Mbps, cwnd: 22511 bytes 
Time: 21.4 s, Throughput: 8.74752 Mbps, cwnd: 25191 bytes 
Time: 21.5 s, Throughput: 9.09056 Mbps, cwnd: 27335 bytes 
Time: 21.6 s, Throughput: 9.09056 Mbps, cwnd: 29479 bytes 
Time: 21.7 s, Throughput: 9.09056 Mbps, cwnd: 31623 bytes 
Time: 21.8 s, Throughput: 9.09056 Mbps, cwnd: 33767 bytes 
Time: 21.9 s, Throughput: 7.46112 Mbps, cwnd: 34661 bytes 
Time: 22 s, Throughput: 9.60512 Mbps, cwnd: 20903 bytes 
Time: 22.1 s, Throughput: 8.06144 Mbps, cwnd: 23583 bytes 
Time: 22.2 s, Throughput: 8.91904 Mbps, cwnd: 25727 bytes 
Time: 22.3 s, Throughput: 9.09056 Mbps, cwnd: 28407 bytes 
Time: 22.4 s, Throughput: 9.09056 Mbps, cwnd: 30015 bytes 
Time: 22.5 s, Throughput: 9.09056 Mbps, cwnd: 32159 bytes 
Time: 22.6 s, Throughput: 9.04768 Mbps, cwnd: 34303 bytes 
Time: 22.7 s, Throughput: 9.09056 Mbps, cwnd: 18759 bytes 
Time: 22.8 s, Throughput: 7.504 Mbps, cwnd: 21439 bytes 
Time: 22.9 s, Throughput: 8.49024 Mbps, cwnd: 24119 bytes 
Time: 23 s, Throughput: 9.0048 Mbps, cwnd: 26263 bytes 
Time: 23.1 s, Throughput: 9.09056 Mbps, cwnd: 28943 bytes 
Time: 23.2 s, Throughput: 9.04768 Mbps, cwnd: 31087 bytes 
Time: 23.3 s, Throughput: 9.09056 Mbps, cwnd: 32695 bytes 
Time: 23.4 s, Throughput: 9.09056 Mbps, cwnd: 34839 bytes 
Time: 23.5 s, Throughput: 8.70464 Mbps, cwnd: 19831 bytes 
Time: 23.6 s, Throughput: 7.67552 Mbps, cwnd: 22511 bytes 
Time: 23.7 s, Throughput: 8.61888 Mbps, cwnd: 24655 bytes 
Time: 23.8 s, Throughput: 9.09056 Mbps, cwnd: 27335 bytes 
Time: 23.9 s, Throughput: 9.04768 Mbps, cwnd: 29479 bytes 
Time: 24 s, Throughput: 9.09056 Mbps, cwnd: 31623 bytes 
Time: 24.1 s, Throughput: 9.09056 Mbps, cwnd: 33231 bytes 
Time: 24.2 s, Throughput: 9.09056 Mbps, cwnd: 34839 bytes 
Time: 24.3 s, Throughput: 8.10432 Mbps, cwnd: 20367 bytes 
Time: 24.4 s, Throughput: 8.1472 Mbps, cwnd: 23047 bytes 
Time: 24.5 s, Throughput: 8.74752 Mbps, cwnd: 25191 bytes 
Time: 24.6 s, Throughput: 9.04768 Mbps, cwnd: 27871 bytes 
Time: 24.7 s, Throughput: 9.09056 Mbps, cwnd: 30015 bytes 
Time: 24.8 s, Throughput: 9.09056 Mbps, cwnd: 32159 bytes 
Time: 24.9 s, Throughput: 9.09056 Mbps, cwnd: 33767 bytes 
Time: 25 s, Throughput: 6.6464 Mbps, cwnd: 34610 bytes 
Time: 25.1 s, Throughput: 10.1626 Mbps, cwnd: 20903 bytes 
Time: 25.2 s, Throughput: 8.23296 Mbps, cwnd: 23583 bytes 
Time: 25.3 s, Throughput: 9.0048 Mbps, cwnd: 26263 bytes 
Time: 25.4 s, Throughput: 9.09056 Mbps, cwnd: 28407 bytes 
