2.96752s	CWnd: 66456 KB
2.96846s	CWnd: 66460 KB
2.9694s	CWnd: 66464 KB
2.97035s	CWnd: 66468 KB
2.97129s	CWnd: 66472 KB
2.97224s	CWnd: 66476 KB
2.97318s	CWnd: 66480 KB
2.97412s	CWnd: 66484 KB
2.97507s	CWnd: 66488 KB
2.97601s	CWnd: 66492 KB
2.97696s	CWnd: 66496 KB
2.9779s	CWnd: 66500 KB
2.97884s	CWnd: 66504 KB
2.97979s	CWnd: 66508 KB
2.98073s	CWnd: 66512 KB
2.98168s	CWnd: 66516 KB
2.98262s	CWnd: 66520 KB
2.98356s	CWnd: 66524 KB
2.98451s	CWnd: 66528 KB
2.98545s	CWnd: 66532 KB
2.9864s	CWnd: 66536 KB
2.98734s	CWnd: 66540 KB
2.98828s	CWnd: 66544 KB
2.98923s	CWnd: 66548 KB
2.99017s	CWnd: 66552 KB
2.99112s	CWnd: 66556 KB
2.99206s	CWnd: 66560 KB
2.993s	CWnd: 66564 KB
2.99395s	CWnd: 66568 KB
2.99489s	CWnd: 66572 KB
2.99584s	CWnd: 66576 KB
2.99678s	CWnd: 66580 KB
2.99772s	CWnd: 66584 KB
2.99867s	CWnd: 66588 KB
2.99961s	CWnd: 66592 KB
3.00056s	CWnd: 66596 KB
3.0015s	CWnd: 66600 KB
3.00244s	CWnd: 66604 KB
3.00339s	CWnd: 66608 KB
3.00433s	CWnd: 66612 KB
3.00528s	CWnd: 66616 KB
3.00622s	CWnd: 66620 KB
3.00716s	CWnd: 66624 KB
3.00811s	CWnd: 66628 KB
3.00905s	CWnd: 66632 KB
3.01s	CWnd: 66636 KB
3.01094s	CWnd: 66640 KB
3.01188s	CWnd: 66644 KB
3.01283s	CWnd: 66648 KB
3.01377s	CWnd: 66652 KB
3.01472s	CWnd: 66656 KB
3.01566s	CWnd: 66660 KB
3.0166s	CWnd: 66664 KB
3.01755s	CWnd: 66668 KB
3.01849s	CWnd: 66672 KB
3.01944s	CWnd: 66676 KB
3.02038s	CWnd: 66680 KB
3.02132s	CWnd: 66684 KB
3.02227s	CWnd: 66688 KB
3.02321s	CWnd: 66692 KB
3.02416s	CWnd: 66696 KB
3.0251s	CWnd: 66700 KB
3.02604s	CWnd: 66704 KB
3.02699s	CWnd: 66708 KB
3.02793s	CWnd: 66712 KB
3.02888s	CWnd: 66716 KB
3.02982s	CWnd: 66720 KB
3.03076s	CWnd: 66724 KB
3.03171s	CWnd: 66728 KB
3.03265s	CWnd: 66732 KB
3.0336s	CWnd: 66736 KB
3.03454s	CWnd: 66740 KB
3.03548s	CWnd: 66744 KB
3.03643s	CWnd: 66748 KB
3.03737s	CWnd: 66752 KB
3.03832s	CWnd: 66756 KB
3.03926s	CWnd: 66760 KB
3.0402s	CWnd: 66764 KB
3.04115s	CWnd: 66768 KB
3.04209s	CWnd: 66772 KB
3.04304s	CWnd: 66776 KB
3.04398s	CWnd: 66780 KB
3.04492s	CWnd: 66784 KB
3.04587s	CWnd: 66788 KB
3.04681s	CWnd: 66792 KB
3.04776s	CWnd: 66796 KB
3.0487s	CWnd: 66800 KB
3.04964s	CWnd: 66804 KB
3.05059s	CWnd: 66808 KB
3.05153s	CWnd: 66812 KB
3.05248s	CWnd: 66816 KB
3.05342s	CWnd: 66820 KB
3.05436s	CWnd: 66824 KB
3.05531s	CWnd: 66828 KB
3.05625s	CWnd: 66832 KB
3.0572s	CWnd: 66836 KB
3.05814s	CWnd: 66840 KB
3.05908s	CWnd: 66844 KB
3.06003s	CWnd: 66848 KB
3.06097s	CWnd: 66852 KB
3.06192s	CWnd: 66856 KB
3.06286s	CWnd: 66860 KB
3.0638s	CWnd: 66864 KB
3.06475s	CWnd: 66868 KB
3.06569s	CWnd: 66872 KB
3.06664s	CWnd: 66876 KB
3.06758s	CWnd: 66880 KB
3.06852s	CWnd: 66884 KB
3.06947s	CWnd: 66888 KB
3.07041s	CWnd: 66892 KB
3.07136s	CWnd: 66896 KB
3.0723s	CWnd: 66900 KB
3.07324s	CWnd: 66904 KB
3.07419s	CWnd: 66908 KB
3.07513s	CWnd: 66912 KB
3.07608s	CWnd: 66916 KB
3.07702s	CWnd: 66920 KB
3.07796s	CWnd: 66924 KB
3.07891s	CWnd: 66928 KB
3.07985s	CWnd: 66932 KB
3.0808s	CWnd: 66936 KB
3.08174s	CWnd: 66940 KB
3.08268s	CWnd: 66944 KB
3.08363s	CWnd: 66948 KB
3.08457s	CWnd: 66952 KB
3.08552s	CWnd: 66956 KB
3.08646s	CWnd: 66960 KB
3.0874s	CWnd: 66964 KB
3.08835s	CWnd: 66968 KB
3.08929s	CWnd: 66972 KB
3.09024s	CWnd: 66976 KB
3.09118s	CWnd: 66980 KB
3.09212s	CWnd: 66984 KB
3.09307s	CWnd: 66988 KB
3.09401s	CWnd: 66992 KB
3.09496s	CWnd: 66996 KB
3.0959s	CWnd: 67000 KB
3.09684s	CWnd: 67004 KB
3.09779s	CWnd: 67008 KB
3.09873s	CWnd: 67012 KB
